School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Millikin University,IL,0.0,1918.0,1,2,35002.0,35002.0,48900.0,42200.0,42500.0,42800.0,56700.0,35900.0,33000.0,23400.0,34200.0,38300.0
Monmouth College,IL,0.0,901.0,1,2,37674.0,37674.0,45800.0,42900.0,26000.0,41600.0,51400.0,32800.0,31300.0,19200.0,28700.0,36900.0
Illinois College,IL,0.0,971.0,1,2,33090.0,33090.0,44300.0,41000.0,26800.0,41400.0,48600.0,32600.0,31400.0,18000.0,29700.0,35500.0
Quincy University,IL,0.0,916.0,1,2,28562.0,28562.0,44400.0,38900.0,45900.0,35600.0,53700.0,33100.0,31100.0,17500.0,31900.0,34900.0
Olney Central College,IL,0.0,721.0,2,1,3970.0,11734.0,31900.0,28100.0,21700.0,27600.0,42400.0,22900.0,20300.0,17500.0,20000.0,28100.0
Morton College,IL,0.0,3384.0,2,1,4372.0,10516.0,40900.0,38300.0,25800.0,38100.0,46000.0,27600.0,24800.0,18900.0,26500.0,29600.0
Illinois Valley Community College,IL,0.0,2135.0,2,1,4000.0,11782.0,35200.0,32000.0,25400.0,30200.0,43300.0,27000.0,24000.0,19500.0,24000.0,32100.0
Lincoln Christian University,IL,0.0,398.0,1,2,13200.0,13200.0,30000.0,27000.0,22400.0,23200.0,36000.0,29800.0,25600.0,19400.0,26300.0,33000.0
Northern Baptist Theological Seminary,IL,0.0,,1,2,,,,,,,,,,,,
Holy Cross College,IN,0.0,498.0,1,2,30700.0,30700.0,45000.0,39300.0,35700.0,39600.0,49500.0,29300.0,28000.0,18600.0,28100.0,29900.0
Rush University,IL,0.0,120.0,1,2,,,84600.0,68800.0,65900.0,,,69100.0,61100.0,37200.0,65400.0,81700.0
College of Court Reporting Inc,IN,1.0,142.0,2,3,9050.0,9050.0,28500.0,28000.0,19400.0,,,29100.0,25700.0,21400.0,,
Huntington University,IN,0.0,981.0,1,2,26158.0,26158.0,37100.0,35300.0,23200.0,32500.0,43300.0,30800.0,28400.0,19600.0,28200.0,33800.0
University of St Francis,IL,0.0,1590.0,1,2,32320.0,32320.0,50000.0,45500.0,32500.0,45600.0,59900.0,45700.0,44500.0,24800.0,45500.0,46300.0
Ivy Tech Community College,IN,0.0,59821.0,2,1,4368.0,8402.0,34900.0,32300.0,23300.0,32900.0,39800.0,27500.0,25400.0,18200.0,26300.0,29700.0
Saint Xavier University,IL,0.0,2943.0,1,2,33880.0,33880.0,53700.0,49500.0,47100.0,49300.0,64600.0,40800.0,37000.0,26600.0,40100.0,42200.0
Don Roberts Beauty School,IN,0.0,17.0,3,3,,,,,,,,,,,,
Shawnee Community College,IL,0.0,845.0,2,1,4000.0,6464.0,27300.0,24900.0,18800.0,25100.0,32800.0,21300.0,19000.0,15500.0,19200.0,24900.0
Indiana University-Purdue University-Indianapolis,IN,0.0,20651.0,1,1,9465.0,29821.0,44800.0,40300.0,37000.0,39900.0,51800.0,40700.0,35100.0,34400.0,36500.0,46800.0
Waubonsee Community College,IL,0.0,6752.0,2,1,3264.0,9036.0,38000.0,35100.0,25400.0,36900.0,40300.0,29100.0,26400.0,20100.0,28000.0,31200.0
Southeastern Illinois College,IL,0.0,839.0,2,1,3960.0,6180.0,34100.0,28900.0,32300.0,28000.0,43500.0,23900.0,19700.0,18600.0,19500.0,31000.0
Grace College and Theological Seminary,IN,0.0,1353.0,1,2,24768.0,24768.0,38100.0,34600.0,29000.0,28300.0,50100.0,28600.0,27200.0,18200.0,25100.0,34100.0
Wheaton College,IL,0.0,2364.0,1,2,36420.0,36420.0,54600.0,45100.0,62300.0,38300.0,69400.0,35700.0,32700.0,24600.0,31300.0,39900.0
Spoon River College,IL,0.0,967.0,2,1,4950.0,11370.0,32000.0,29000.0,21200.0,27700.0,38500.0,27700.0,23400.0,21200.0,24400.0,32700.0
Lincoln College of Technology-Indianapolis,IN,0.0,961.0,2,3,,,36700.0,35000.0,22700.0,,,29600.0,28400.0,18300.0,21700.0,29900.0
Buena Vista University,IA,0.0,1546.0,1,2,34004.0,34004.0,43500.0,40600.0,26200.0,38300.0,51400.0,34200.0,32800.0,18000.0,31100.0,39800.0
Manchester University,IN,0.0,1186.0,1,2,32758.0,32758.0,45200.0,41700.0,28100.0,38800.0,50600.0,32200.0,32000.0,17300.0,29200.0,34400.0
Capri College-Dubuque,IA,0.0,142.0,2,3,,,22300.0,20600.0,14600.0,,,19800.0,19300.0,11900.0,,
Saint Mary-of-the-Woods College,IN,0.0,707.0,1,2,29960.0,29960.0,32700.0,31800.0,22300.0,,,28100.0,26900.0,16500.0,,
Saint Meinrad School of Theology,IN,0.0,,1,2,,,,,,,,,,,,
Saint Elizabeth School of Nursing,IN,0.0,126.0,2,2,19948.0,19948.0,45200.0,48900.0,25000.0,,,42900.0,42000.0,21400.0,,
Iowa School of Beauty-Marshalltown,IA,0.0,4.0,2,3,,,,,,,,,,,,
La James International College-Iowa City,IA,0.0,38.0,2,3,,,19400.0,18100.0,15300.0,,,22300.0,21200.0,12900.0,,
Hesston College,KS,0.0,419.0,1,2,26900.0,26900.0,35300.0,33500.0,22500.0,30200.0,40800.0,32200.0,28400.0,19800.0,32900.0,31400.0
Henderson Community College,KY,0.0,1004.0,2,1,4248.0,14400.0,33400.0,30100.0,23100.0,29800.0,47100.0,26500.0,23100.0,18400.0,24200.0,33900.0
Pittsburg State University,KS,0.0,5067.0,1,1,7298.0,18642.0,42700.0,39100.0,29700.0,34200.0,50200.0,35600.0,33100.0,21700.0,29900.0,40200.0
Jefferson Community and Technical College,KY,0.0,8932.0,2,1,4328.0,14480.0,31800.0,28600.0,23800.0,30000.0,36100.0,24900.0,22800.0,17200.0,24100.0,26300.0
Summit Salon Academy-Lexington,KY,0.0,37.0,2,3,,,,,,,,,,,,
University of Kansas,KS,0.0,19135.0,1,1,11148.0,27358.0,54300.0,47000.0,46900.0,48100.0,60800.0,41800.0,36500.0,36700.0,39600.0,44100.0
Kansas Wesleyan University,KS,0.0,650.0,1,2,29500.0,29500.0,44000.0,39900.0,29200.0,39100.0,49700.0,31700.0,29700.0,20200.0,31100.0,32400.0
Wichita State University-Campus of Applied Sciences and Technology,KS,0.0,2632.0,2,1,6037.0,6878.0,33300.0,30500.0,22700.0,29100.0,38100.0,31400.0,30200.0,19500.0,31200.0,31600.0
Manhattan Area Technical College,KS,0.0,435.0,2,1,6750.0,6750.0,40900.0,37600.0,25800.0,33300.0,46500.0,39800.0,36800.0,24000.0,35400.0,41900.0
Frontier Nursing University,KY,1.0,,1,2,,,,,,,,,,,,
Wichita Technical Institute,KS,0.0,778.0,2,3,,,,,,,,22600.0,19900.0,16900.0,17000.0,27100.0
McPherson College,KS,0.0,716.0,1,2,28951.0,28951.0,39300.0,36800.0,26100.0,31100.0,45200.0,31000.0,28800.0,19800.0,29500.0,31900.0
PJ's College of Cosmetology-Glasgow,KY,0.0,32.0,2,3,,,,,,,,13700.0,10400.0,11100.0,,
Ashland Community and Technical College,KY,0.0,2007.0,2,1,4248.0,14400.0,29500.0,25400.0,22200.0,26900.0,36700.0,25500.0,20500.0,22100.0,20900.0,32800.0
Barrett and Company School of Hair Design,KY,0.0,51.0,3,3,,,,,,,,14300.0,12900.0,9600.0,,
Guy's Shreveport Academy of Cosmetology Inc,LA,0.0,73.0,3,3,,,21100.0,17700.0,17000.0,,,17900.0,16100.0,11800.0,,
Massachusetts Bay Community College,MA,0.0,3496.0,2,1,5088.0,10032.0,47500.0,42000.0,34000.0,45900.0,50600.0,35000.0,32100.0,23100.0,34500.0,35600.0
Massachusetts College of Art and Design,MA,0.0,1828.0,1,1,13200.0,36400.0,39900.0,36700.0,27800.0,36500.0,44900.0,29400.0,25900.0,19100.0,28900.0,30200.0
Boston College,MA,0.0,9639.0,1,2,55464.0,55464.0,85700.0,68100.0,77900.0,74900.0,98800.0,64800.0,54000.0,51000.0,58400.0,72800.0
