,State,Tuition (in state),Earnings after 10 years - median,Earnings (x in state tuition)
55,WY,5400.0,47900.0,8.87
50,VI,5235.0,37200.0,7.11
12,GU,5804.0,34300.0,5.91
0,AK,7443.0,37500.0,5.04
35,NM,7317.0,36278.0,4.96
3,AS,3950.0,19600.0,4.96
27,MP,4038.0,19400.0,4.8
36,NV,8938.0,40214.0,4.5
42,PR,5804.0,22547.0,3.88
31,ND,9456.0,35350.0,3.74
13,HI,12768.0,44029.0,3.45
48,UT,11400.0,39162.0,3.44
9,DE,14728.0,43667.0,2.96
28,MS,12724.0,37450.0,2.94
15,ID,13381.0,38214.0,2.86
4,AZ,15885.0,44142.0,2.78
6,CO,15773.0,43004.0,2.73
52,WA,14662.0,39902.0,2.72
45,SD,13535.0,36647.0,2.71
29,MT,13298.0,34910.0,2.63
39,OK,14671.0,38104.0,2.6
20,LA,15234.0,38696.0,2.54
10,FL,14935.0,37737.0,2.53
1,AL,15409.0,38556.0,2.5
54,WV,15175.0,37145.0,2.45
2,AR,15096.0,35045.0,2.32
11,GA,16640.0,38180.0,2.29
47,TX,18792.0,41921.0,2.23
32,NE,18910.0,40928.0,2.16
22,MD,23958.0,51295.0,2.14
26,MO,19906.0,42405.0,2.13
5,CA,23919.0,49015.0,2.05
34,NJ,26375.0,52803.0,2.0
38,OH,20954.0,41809.0,2.0
18,KS,19913.0,39354.0,1.98
24,MI,21438.0,41314.0,1.93
53,WI,23253.0,44000.0,1.89
49,VA,23488.0,44472.0,1.89
44,SC,20623.0,37455.0,1.82
30,NC,22681.0,41138.0,1.81
46,TN,21437.0,37548.0,1.75
17,IN,24852.0,42951.0,1.73
19,KY,21603.0,37031.0,1.71
37,NY,27773.0,47277.0,1.7
7,CT,30060.0,50748.0,1.69
41,PA,28631.0,47927.0,1.67
8,DC,33332.0,54062.0,1.62
40,OR,26674.0,43057.0,1.61
25,MN,26236.0,42200.0,1.61
33,NH,28915.0,45667.0,1.58
16,IL,28516.0,44156.0,1.55
23,ME,25176.0,38050.0,1.51
14,IA,28022.0,40974.0,1.46
21,MA,35679.0,51411.0,1.44
51,VT,28026.0,39908.0,1.42
43,RI,36096.0,50490.0,1.4
