School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Millikin University,Decatur,IL,62522-2084,39.842612,-88.976298,3,13.0,1,0.0,1918.0,2
Monmouth College,Monmouth,IL,61462-1998,40.914824,-90.63731,3,32.0,1,0.0,901.0,2
Illinois College,Jacksonville,IL,62650-2299,39.7313,-90.246171,3,32.0,1,0.0,971.0,2
Quincy University,Quincy,IL,62301-2699,39.938898,-91.385975,3,33.0,1,0.0,916.0,2
Olney Central College,Olney,IL,62450,38.735913,-88.099589,3,33.0,2,0.0,721.0,1
Morton College,Cicero,IL,60804-4398,41.824303,-87.762306,3,21.0,2,0.0,3384.0,1
Illinois Valley Community College,Oglesby,IL,61348-9692,41.30744,-89.100887,3,41.0,2,0.0,2135.0,1
Lincoln Christian University,Lincoln,IL,62656-2111,40.148924,-89.346721,3,32.0,1,0.0,398.0,2
Northern Baptist Theological Seminary,Lisle,IL,60532-1348,41.809104,-88.056162,3,21.0,1,0.0,,2
Holy Cross College,Notre Dame,IN,46556-0308,41.698996,-86.253822,3,21.0,1,0.0,498.0,2
Rush University,Chicago,IL,60612,41.874742,-87.668581,3,11.0,1,0.0,120.0,2
College of Court Reporting Inc,Valparaiso,IN,46385,41.467574,-87.066331,3,21.0,2,1.0,142.0,3
Huntington University,Huntington,IN,46750,40.898152,-85.497317,3,32.0,1,0.0,981.0,2
University of St Francis,Joliet,IL,60435-6188,41.532225,-88.096057,3,21.0,1,0.0,1590.0,2
Ivy Tech Community College,Indianapolis,IN,46208-5752,39.803753,-86.158213,3,11.0,2,0.0,59821.0,1
Saint Xavier University,Chicago,IL,60655,41.707199,-87.714749,3,11.0,1,0.0,2943.0,2
Don Roberts Beauty School,Valparaiso,IN,46385,41.472714,-87.077791,3,21.0,3,0.0,17.0,3
Shawnee Community College,Ullin,IL,62992,37.270198,-89.03352,3,43.0,2,0.0,845.0,1
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,39.772948,-86.172217,3,11.0,1,0.0,20651.0,1
Waubonsee Community College,Sugar Grove,IL,60554-9454,41.795955,-88.459925,3,41.0,2,0.0,6752.0,1
Southeastern Illinois College,Harrisburg,IL,62946,37.75174,-88.436631,3,42.0,2,0.0,839.0,1
Grace College and Theological Seminary,Winona Lake,IN,46590-1274,41.22595,-85.814228,3,32.0,1,0.0,1353.0,2
Wheaton College,Wheaton,IL,60187-5593,41.870176,-88.099643,3,21.0,1,0.0,2364.0,2
Spoon River College,Canton,IL,61520-8622,40.527991,-90.07233,3,41.0,2,0.0,967.0,1
Lincoln College of Technology-Indianapolis,Indianapolis,IN,46268,39.884503,-86.246276,3,11.0,2,0.0,961.0,3
Buena Vista University,Storm Lake,IA,50588,42.642255,-95.208529,4,33.0,1,0.0,1546.0,2
Manchester University,North Manchester,IN,46962,41.010549,-85.762643,3,32.0,1,0.0,1186.0,2
Capri College-Dubuque,Dubuque,IA,52004-0873,42.497357,-90.665565,4,13.0,2,0.0,142.0,3
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876-1099,39.508546,-87.463791,3,41.0,1,0.0,707.0,2
Saint Meinrad School of Theology,St. Meinrad,IN,47577,38.165546,-86.810388,3,43.0,1,0.0,,2
Saint Elizabeth School of Nursing,Lafayette,IN,47904-9988,40.427401,-86.88083,3,13.0,2,0.0,126.0,2
Iowa School of Beauty-Marshalltown,Marshalltown,IA,50158,42.015283,-92.915054,4,32.0,2,0.0,4.0,3
La James International College-Iowa City,Iowa City,IA,52245,41.663433,-91.532038,4,13.0,2,0.0,38.0,3
Hesston College,Hesston,KS,67062-2093,38.134558,-97.433883,4,32.0,1,0.0,419.0,2
Henderson Community College,Henderson,KY,42420-4699,37.797687,-87.650091,5,41.0,2,0.0,1004.0,1
Pittsburg State University,Pittsburg,KS,66762,37.392071,-94.702473,4,32.0,1,0.0,5067.0,1
Jefferson Community and Technical College,Louisville,KY,40202-2005,38.246027,-85.753615,5,11.0,2,0.0,8932.0,1
Summit Salon Academy-Lexington,Lexington,KY,40505,38.028451,-84.453521,5,11.0,2,0.0,37.0,3
University of Kansas,Lawrence,KS,66045,38.958549,-95.247567,4,13.0,1,0.0,19135.0,1
Kansas Wesleyan University,Salina,KS,67401-6196,38.813795,-97.607973,4,33.0,1,0.0,650.0,2
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,67226,37.75764,-97.224151,4,41.0,2,0.0,2632.0,1
Manhattan Area Technical College,Manhattan,KS,66503-2499,39.197774,-96.615672,4,13.0,2,0.0,435.0,1
Frontier Nursing University,Hyden,KY,41749,37.165605,-83.37937,5,42.0,1,1.0,,2
Wichita Technical Institute,Wichita,KS,67213-1927,37.656976,-97.371819,4,11.0,2,0.0,778.0,3
McPherson College,McPherson,KS,67460-1402,38.371422,-97.642996,4,33.0,1,0.0,716.0,2
PJ's College of Cosmetology-Glasgow,Glasgow,KY,42141,37.012713,-85.922275,5,32.0,2,0.0,32.0,3
Ashland Community and Technical College,Ashland,KY,41101-3683,38.469201,-82.650664,5,13.0,2,0.0,2007.0,1
Barrett and Company School of Hair Design,Nicholasville,KY,40356-2152,37.866361,-84.580326,5,31.0,3,0.0,51.0,3
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,71105,32.485759,-93.706628,5,12.0,3,0.0,73.0,3
Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399,42.312292,-71.263821,1,21.0,2,0.0,3496.0,1
Massachusetts College of Art and Design,Boston,MA,02115-5882,42.336862,-71.099275,1,11.0,1,0.0,1828.0,1
Boston College,Chestnut Hill,MA,02467,42.336213,-71.169242,1,13.0,1,0.0,9639.0,2
William James College,Newton,MA,02459,42.294995,-71.203256,1,13.0,1,0.0,14.0,2
Bridgewater State University,Bridgewater,MA,02325,41.98749,-70.974553,1,21.0,1,0.0,9312.0,1
Laboure College,Milton,MA,02186,42.260866,-71.058279,1,21.0,1,0.0,845.0,2
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,42.317018,-71.129418,1,21.0,1,0.0,65.0,2
College of Our Lady of the Elms,Chicopee,MA,01013,42.141781,-72.60154,1,21.0,1,0.0,1127.0,2
Pope St John XXIII National Seminary,Weston,MA,02493-2699,42.339408,-71.311059,1,21.0,1,0.0,,2
Saint John's Seminary,Brighton,MA,02135-3846,42.344146,-71.161998,1,11.0,1,0.0,24.0,2
New England School of Photography,Waltham,MA,02453,42.371534,-71.23665,1,13.0,3,0.0,40.0,3
Carnegie Institute,Troy,MI,48083,42.53889,-83.118801,3,13.0,2,0.0,134.0,3
Newbury College,Brookline,MA,02445,42.331032,-71.142082,1,21.0,1,0.0,635.0,2
North Bennet Street School,Boston,MA,02109,42.36279,-71.05452,1,11.0,2,0.0,152.0,2
Cleary University,Howell,MI,48843,42.586638,-83.879987,3,22.0,1,0.0,474.0,2
Southeastern Technical Institute,South Easton,MA,02375,42.010312,-71.081227,1,21.0,3,0.0,134.0,1
Cranbrook Academy of Art,Bloomfield Hills,MI,48304,42.568904,-83.250681,3,21.0,1,0.0,,2
Alma College,Alma,MI,48801-1599,43.38004,-84.672053,3,32.0,1,0.0,1396.0,2
Oakland University,Rochester Hills,MI,48309-4401,42.674573,-83.216418,3,21.0,1,0.0,15476.0,1
University of Mississippi,University,MS,38677-1848,34.365529,-89.537434,5,33.0,1,0.0,17784.0,1
Mississippi Valley State University,Itta Bena,MS,38941-1400,33.514142,-90.341274,5,33.0,1,0.0,1659.0,1
Mississippi Gulf Coast Community College,Perkinston,MS,39573,30.780784,-89.142952,5,42.0,2,0.0,7776.0,1
Delta Beauty College,Greenville,MS,38703,33.398819,-91.036701,5,33.0,2,0.0,15.0,3
Vermilion Community College,Ely,MN,55731-1918,47.905184,-91.837777,4,33.0,2,0.0,447.0,1
Dunwoody College of Technology,Minneapolis,MN,55403-1192,44.97281,-93.290608,4,11.0,1,0.0,1294.0,2
Mitchell Hamline School of Law,Saint Paul,MN,55105-3076,44.94202,-93.138224,4,11.0,1,0.0,,2
State Technical College of Missouri,Linn,MO,65051-9607,38.467699,-91.814259,4,42.0,2,0.0,1339.0,1
Southwest Mississippi Community College,Summit,MS,39666-0000,31.295121,-90.443295,5,33.0,2,0.0,1788.0,1
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.150497,-92.685253,4,32.0,1,0.0,1147.0,2
Merrell University of Beauty Arts and Science,Jefferson City,MO,65109,38.571057,-92.198801,4,13.0,3,0.0,58.0,3
Wesley Biblical Seminary,Ridgeland,MS,39157-1920,32.355011,-90.159447,5,12.0,1,0.0,,2
Mineral Area College,Park Hills,MO,63601-1000,37.845199,-90.481847,4,32.0,2,0.0,1873.0,1
Missouri Baptist University,Saint Louis,MO,63141-8698,38.641526,-90.462586,4,21.0,1,0.0,1818.0,2
Cottey College,Nevada,MO,64772,37.836127,-94.371311,4,33.0,1,0.0,271.0,2
Missouri Southern State University,Joplin,MO,64801-1595,37.095155,-94.461689,4,13.0,1,0.0,5122.0,1
Culver-Stockton College,Canton,MO,63435-1299,40.128993,-91.529374,4,43.0,1,0.0,975.0,2
Missouri Western State University,Saint Joseph,MO,64507,39.7575,-94.785643,4,13.0,1,0.0,4119.0,1
Drury University,Springfield,MO,65802-3791,37.219681,-93.286192,4,12.0,1,0.0,1486.0,2
Elaine Steven Beauty College,Saint Louis,MO,63136-5618,38.761399,-90.278574,4,21.0,3,0.0,135.0,3
A T Still University of Health Sciences,Kirksville,MO,63501,40.193648,-92.589183,4,33.0,1,0.0,,2
Lex La-Ray Technical Center,Lexington,MO,64067-1525,39.173683,-93.865563,4,32.0,3,0.0,32.0,1
Flathead Valley Community College,Kalispell,MT,59901,48.227389,-114.327258,7,41.0,2,0.0,1455.0,1
Missouri University of Science and Technology,Rolla,MO,65409,37.953426,-91.775583,4,33.0,1,0.0,6785.0,1
Washington University in St Louis,Saint Louis,MO,63130-4899,38.647929,-90.310604,4,21.0,1,0.0,7356.0,2
Neosho Beauty College,Neosho,MO,64850-1525,36.870562,-94.368636,4,32.0,3,0.0,33.0,3
Montana State University,Bozeman,MT,59717,45.666726,-111.048812,7,33.0,1,0.0,14566.0,1
Academy of Cosmetology,Bozeman,MT,59715-3544,45.680544,-111.039848,7,33.0,3,0.0,35.0,3
College of the Ozarks,Point Lookout,MO,65726-0017,36.616019,-93.238174,4,32.0,1,0.0,1548.0,2
Blackfeet Community College,Browning,MT,59417-0819,48.551927,-113.009387,7,41.0,2,0.0,290.0,2
Highlands College of Montana Tech,Butte,MT,59701,45.938145,-112.509365,7,33.0,2,0.0,413.0,1
Salish Kootenai College,Pablo,MT,59855,47.598592,-114.111635,7,42.0,1,0.0,672.0,2
Ranken Technical College,Saint Louis,MO,63113-2811,38.653303,-90.248465,4,11.0,1,0.0,1698.0,2
Dawson Community College,Glendive,MT,59330,47.085396,-104.725485,7,33.0,2,0.0,224.0,1
La'James International College,Fremont,NE,68025,41.44576,-96.482042,4,32.0,2,0.0,8.0,3
Bellevue University,Bellevue,NE,68005-3098,41.150225,-95.91764,4,21.0,1,0.0,6377.0,2
Career College of Northern Nevada,Sparks,NV,89434-7905,39.540865,-119.719415,8,21.0,2,0.0,359.0,3
University of Nebraska at Omaha,Omaha,NE,68182-0225,41.258769,-96.008516,4,11.0,1,0.0,12230.0,1
The Art Institute of Las Vegas,Henderson,NV,89074-7737,36.024552,-115.090268,8,11.0,1,0.0,545.0,3
University of Nevada-Las Vegas,Las Vegas,NV,89154,36.106047,-115.138462,8,12.0,1,0.0,24707.0,1
