,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
0,Millikin University,490.0,555.0,620.0,470.0,530.0,590.0
1,Monmouth College,500.0,540.0,580.0,480.0,535.0,590.0
2,Illinois College,,,,,,
3,Quincy University,490.0,535.0,580.0,470.0,515.0,560.0
4,Olney Central College,,,,,,
5,Morton College,,,,,,
6,Illinois Valley Community College,,,,,,
7,Lincoln Christian University,490.0,555.0,620.0,450.0,505.0,560.0
8,Northern Baptist Theological Seminary,,,,,,
9,Holy Cross College,560.0,625.0,690.0,540.0,625.0,710.0
10,Rush University,,,,,,
11,College of Court Reporting Inc,,,,,,
12,Huntington University,500.0,545.0,590.0,490.0,540.0,590.0
13,University of St Francis,520.0,560.0,600.0,510.0,550.0,590.0
14,Ivy Tech Community College,,,,,,
15,Saint Xavier University,480.0,525.0,570.0,470.0,515.0,560.0
16,Don Roberts Beauty School,,,,,,
17,Shawnee Community College,,,,,,
18,Indiana University-Purdue University-Indianapolis,500.0,555.0,610.0,500.0,545.0,590.0
19,Waubonsee Community College,,,,,,
20,Southeastern Illinois College,,,,,,
21,Grace College and Theological Seminary,510.0,575.0,640.0,510.0,560.0,610.0
22,Wheaton College,620.0,665.0,710.0,590.0,650.0,710.0
23,Spoon River College,,,,,,
24,Lincoln College of Technology-Indianapolis,,,,,,
25,Buena Vista University,450.0,515.0,580.0,470.0,515.0,560.0
26,Manchester University,,,,,,
27,Capri College-Dubuque,,,,,,
28,Saint Mary-of-the-Woods College,470.0,520.0,570.0,450.0,495.0,540.0
29,Saint Meinrad School of Theology,,,,,,
30,Saint Elizabeth School of Nursing,410.0,455.0,500.0,400.0,455.0,510.0
31,Iowa School of Beauty-Marshalltown,,,,,,
32,La James International College-Iowa City,,,,,,
33,Hesston College,,,,,,
34,Henderson Community College,,,,,,
35,Pittsburg State University,,,,,,
36,Jefferson Community and Technical College,,,,,,
37,Summit Salon Academy-Lexington,,,,,,
38,University of Kansas,,,,,,
39,Kansas Wesleyan University,480.0,535.0,590.0,500.0,540.0,580.0
40,Wichita State University-Campus of Applied Sciences and Technology,,,,,,
41,Manhattan Area Technical College,,,,,,
42,Frontier Nursing University,,,,,,
43,Wichita Technical Institute,,,,,,
44,McPherson College,480.0,535.0,590.0,510.0,545.0,580.0
45,PJ's College of Cosmetology-Glasgow,,,,,,
46,Ashland Community and Technical College,,,,,,
47,Barrett and Company School of Hair Design,,,,,,
48,Guy's Shreveport Academy of Cosmetology Inc,,,,,,
49,Massachusetts Bay Community College,,,,,,
50,Massachusetts College of Art and Design,,,,,,
51,Boston College,650.0,685.0,720.0,670.0,720.0,770.0
52,William James College,,,,,,
53,Bridgewater State University,500.0,540.0,580.0,490.0,530.0,570.0
54,Laboure College,,,,,,
55,Hellenic College-Holy Cross Greek Orthodox School of Theology,,,,,,
56,College of Our Lady of the Elms,480.0,530.0,580.0,490.0,540.0,590.0
57,Pope St John XXIII National Seminary,,,,,,
58,Saint John's Seminary,,,,,,
59,New England School of Photography,,,,,,
60,Carnegie Institute,,,,,,
61,Newbury College,,,,,,
62,North Bennet Street School,,,,,,
63,Cleary University,460.0,520.0,580.0,470.0,520.0,570.0
64,Southeastern Technical Institute,,,,,,
65,Cranbrook Academy of Art,,,,,,
66,Alma College,520.0,570.0,620.0,520.0,560.0,600.0
67,Oakland University,510.0,565.0,620.0,500.0,560.0,620.0
68,University of Mississippi,530.0,585.0,640.0,520.0,575.0,630.0
69,Mississippi Valley State University,,,,,,
70,Mississippi Gulf Coast Community College,,,,,,
71,Delta Beauty College,,,,,,
72,Vermilion Community College,,,,,,
73,Dunwoody College of Technology,,,,,,
74,Mitchell Hamline School of Law,,,,,,
75,State Technical College of Missouri,,,,,,
76,Southwest Mississippi Community College,,,,,,
77,Central Methodist University-College of Liberal Arts and Sciences,460.0,505.0,550.0,490.0,535.0,580.0
78,Merrell University of Beauty Arts and Science,,,,,,
79,Wesley Biblical Seminary,,,,,,
80,Mineral Area College,,,,,,
81,Missouri Baptist University,460.0,510.0,560.0,470.0,510.0,550.0
82,Cottey College,510.0,535.0,560.0,460.0,505.0,550.0
83,Missouri Southern State University,,,,,,
84,Culver-Stockton College,480.0,525.0,570.0,470.0,520.0,570.0
85,Missouri Western State University,,,,,,
86,Drury University,540.0,595.0,650.0,530.0,580.0,630.0
87,Elaine Steven Beauty College,,,,,,
88,A T Still University of Health Sciences,,,,,,
89,Lex La-Ray Technical Center,,,,,,
90,Flathead Valley Community College,,,,,,
91,Missouri University of Science and Technology,580.0,635.0,690.0,608.0,649.0,690.0
92,Washington University in St Louis,710.0,740.0,770.0,760.0,780.0,800.0
93,Neosho Beauty College,,,,,,
94,Montana State University,550.0,605.0,660.0,540.0,600.0,660.0
95,Academy of Cosmetology,,,,,,
96,College of the Ozarks,630.0,645.0,660.0,563.0,602.0,640.0
97,Blackfeet Community College,,,,,,
98,Highlands College of Montana Tech,,,,,,
99,Salish Kootenai College,,,,,,
100,Ranken Technical College,,,,,,
101,Dawson Community College,,,,,,
102,La'James International College,,,,,,
103,Bellevue University,,,,,,
104,Career College of Northern Nevada,,,,,,
105,University of Nebraska at Omaha,,,,,,
106,The Art Institute of Las Vegas,,,,,,
107,University of Nevada-Las Vegas,520.0,570.0,620.0,510.0,565.0,620.0
108,Hastings College,470.0,525.0,580.0,470.0,510.0,550.0
109,University of New Hampshire at Manchester,520.0,560.0,600.0,510.0,550.0,590.0
110,Western Nevada College,,,,,,
111,San Diego Miramar College,,,,,,
112,Hope International University,460.0,500.0,540.0,470.0,510.0,550.0
113,University of Redlands,550.0,595.0,640.0,530.0,575.0,620.0
114,College of the Redwoods,,,,,,
115,San Francisco State University,480.0,535.0,590.0,470.0,520.0,570.0
116,Sierra College,,,,,,
